iter	Passed	Remaining
337	2414	4728
338	2421	4720
339	2427	4711
340	2433	4703
341	2440	4695
342	2447	4687
343	2453	4678
344	2459	4669
345	2465	4660
346	2472	4653
347	2478	4643
348	2484	4635
349	2491	4626
350	2498	4619
351	2504	4611
352	2511	4603
353	2518	4595
354	2525	4588
355	2532	4581
356	2538	4573
357	2545	4564
358	2552	4556
359	2559	4549
360	2565	4541
361	2572	4533
362	2579	4526
363	2586	4518
364	2593	4511
365	2599	4502
366	2606	4495
367	2612	4487
368	2619	4479
369	2626	4471
370	2631	4462
371	2639	4455
372	2645	4447
373	2652	4439
374	2658	4431
375	2665	4424
376	2672	4416
377	2679	4408
378	2686	4401
379	2692	4393
380	2699	4386
381	2706	4378
382	2713	4370
383	2719	4362
384	2725	4354
385	2732	4346
386	2739	4338
387	2745	4331
388	2752	4323
389	2759	4316
390	2766	4308
391	2773	4301
392	2779	4293
393	2786	4286
394	2793	4278
395	2799	4269
396	2807	4264
397	2813	4256
398	2822	4251
399	2829	4243
400	2837	4238
401	2843	4230
402	2850	4223
403	2857	4215
404	2863	4207
405	2870	4200
406	2878	4194
407	2886	4188
408	2894	4182
409	2903	4177
410	2915	4178
411	2925	4175
412	2935	4172
413	2947	4171
414	2956	4166
415	3003	4216
416	3018	4219
417	3026	4214
418	3033	4206
419	3040	4198
420	3047	4191
421	3054	4183
422	3059	4173
423	3065	4165
424	3072	4156
425	3078	4148
426	3085	4140
427	3091	4131
428	3098	4123
429	3104	4115
430	3110	4106
431	3117	4099
432	3124	4090
433	3130	4083
434	3137	4074
435	3143	4066
436	3149	4057
437	3155	4049
438	3161	4040
439	3167	4031
440	3173	4023
441	3179	4014
442	3186	4006
443	3193	3998
444	3199	3990
445	3205	3982
446	3212	3974
447	3218	3966
448	3225	3958
449	3232	3950
450	3239	3943
451	3245	3934
452	3251	3926
453	3257	3917
454	3264	3910
455	3271	3902
456	3277	3894
457	3283	3885
458	3290	3877
459	3296	3869
460	3302	3861
461	3308	3852
462	3314	3844
463	3320	3836
464	3326	3827
465	3332	3819
466	3339	3810
467	3345	3802
468	3352	3795
469	3358	3786
470	3365	3779
471	3372	3772
472	3378	3764
473	3384	3755
474	3390	3747
475	3398	3740
476	3405	3733
477	3411	3725
478	3418	3717
479	3423	3709
480	3430	3701
481	3437	3694
482	3444	3686
483	3449	3678
484	3456	3670
485	3463	3662
486	3469	3654
487	3476	3647
488	3482	3639
489	3488	3631
490	3495	3623
491	3501	3615
492	3507	3606
493	3513	3599
494	3520	3591
495	3526	3583
496	3532	3575
497	3539	3567
498	3545	3559
499	3551	3551
500	3557	3543
501	3564	3535
502	3569	3527
503	3576	3519
504	3582	3511
505	3588	3503
506	3595	3496
507	3602	3488
508	3607	3480
509	3614	3472
510	3620	3464
511	3626	3456
512	3632	3448
513	3638	3439
514	3644	3431
515	3651	3424
516	3657	3416
517	3663	3409
518	3670	3401
519	3677	3394
520	3683	3386
521	3688	3377
522	3694	3369
523	3700	3361
524	3707	3354
525	3714	3346
526	3720	3339
527	3726	3331
528	3732	3323
529	3739	3315
530	3745	3308
531	3752	3300
532	3758	3293
533	3765	3286
534	3772	3278
535	3778	3270
536	3784	3263
537	3791	3255
538	3797	3248
539	3804	3240
540	3811	3233
541	3817	3225
542	3824	3218
543	3830	3211
544	3837	3203
545	3843	3196
546	3850	3189
547	3857	3181
548	3863	3173
549	3870	3166
550	3876	3158
551	3883	3151
552	3890	3145
553	3897	3137
554	3905	3131
555	3912	3124
556	3919	3117
557	3925	3109
558	3932	3102
559	3938	3094
560	3946	3087
561	3951	3079
562	3958	3072
563	3965	3065
564	3971	3057
565	3978	3050
566	3984	3043
567	3990	3035
568	3996	3027
569	4002	3019
570	4009	3012
571	4015	3004
572	4021	2997
573	4027	2989
574	4034	2982
575	4041	2974
576	4046	2966
577	4053	2959
578	4060	2952
579	4067	2945
580	4074	2938
581	4081	2931
582	4087	2923
583	4094	2916
584	4100	2909
585	4107	2901
586	4113	2894
587	4119	2886
588	4126	2879
589	4132	2871
590	4138	2864
591	4145	2856
592	4152	2849
593	4158	2842
594	4165	2835
595	4172	2828
596	4179	2821
597	4185	2813
598	4191	2805
599	4198	2798
600	4205	2791
601	4212	2784
602	4219	2778
603	4225	2770
604	4232	2763
605	4239	2756
606	4246	2749
607	4253	2742
608	4259	2735
609	4266	2727
610	4274	2721
611	4281	2714
612	4288	2707
613	4294	2700
614	4301	2692
615	4308	2685
616	4315	2678
617	4322	2671
618	4330	2665
619	4337	2658
620	4344	2651
621	4352	2645
622	4359	2638
623	4366	2631
624	4373	2624
625	4380	2617
626	4388	2610
627	4395	2603
628	4403	2597
629	4410	2590
630	4418	2583
631	4425	2577
632	4433	2570
633	4440	2563
634	4447	2556
635	4454	2549
636	4462	2542
637	4470	2536
638	4477	2529
639	4485	2522
640	4492	2516
641	4500	2509
642	4507	2502
643	4515	2495
644	4521	2488
645	4528	2481
646	4535	2474
647	4541	2466
648	4547	2459
649	4554	2452
650	4561	2445
651	4568	2438
652	4574	2430
653	4581	2423
654	4587	2416
655	4594	2409
656	4602	2402
657	4609	2395
658	4615	2388
659	4622	2381
660	4629	2374
661	4636	2367
662	4643	2360
663	4650	2353
664	4657	2346
665	4663	2338
666	4671	2332
667	4678	2325
668	4685	2318
669	4691	2310
670	4699	2304
671	4705	2296
672	4713	2290
673	4721	2283
674	4729	2277
675	4737	2270
676	4744	2263
677	4751	2256
678	4758	2249
679	4765	2242
680	4774	2236
681	4781	2229
682	4789	2222
683	4796	2215
684	4804	2209
685	4811	2202
686	4819	2195
687	4826	2188
688	4834	2182
689	4841	2175
690	4848	2167
691	4854	2160
692	4862	2153
693	4869	2147
694	4876	2139
695	4883	2132
696	4889	2125
697	4895	2118
698	4902	2110
699	4908	2103
700	4914	2096
701	4920	2088
702	4926	2081
703	4933	2074
704	4940	2067
705	4946	2059
706	4952	2052
707	4959	2045
708	4965	2037
709	4972	2030
710	4978	2023
711	4985	2016
712	4991	2009
713	4998	2002
714	5004	1994
715	5011	1987
716	5017	1980
717	5023	1973
718	5030	1966
719	5037	1958
720	5043	1951
721	5050	1944
722	5056	1937
723	5062	1929
724	5069	1922
725	5075	1915
726	5082	1908
727	5089	1901
728	5095	1894
729	5101	1886
730	5108	1879
731	5114	1872
732	5121	1865
733	5127	1858
734	5134	1851
735	5140	1843
736	5147	1836
737	5153	1829
738	5160	1822
739	5167	1815
740	5174	1808
741	5180	1801
742	5187	1794
743	5193	1787
744	5199	1779
745	5206	1772
746	5212	1765
747	5219	1758
748	5226	1751
749	5233	1744
750	5239	1737
751	5246	1730
752	5252	1722
753	5258	1715
754	5265	1708
755	5272	1701
756	5279	1694
757	5284	1687
758	5291	1680
759	5297	1672
760	5303	1665
761	5310	1658
762	5316	1651
763	5322	1644
764	5328	1636
765	5335	1629
766	5342	1622
767	5349	1615
768	5356	1609
769	5364	1602
770	5371	1595
771	5378	1588
772	5386	1581
773	5393	1574
774	5400	1567
775	5407	1561
776	5415	1554
777	5423	1547
778	5430	1540
779	5437	1533
780	5445	1526
781	5452	1520
782	5460	1513
783	5468	1506
784	5475	1499
785	5482	1492
786	5490	1486
787	5498	1479
788	5505	1472
789	5513	1465
790	5520	1458
791	5527	1451
792	5534	1444
793	5541	1437
794	5548	1430
795	5556	1424
796	5563	1417
797	5571	1410
798	5579	1403
799	5585	1396
800	5592	1389
801	5598	1382
802	5606	1375
803	5613	1368
804	5619	1361
805	5626	1354
806	5634	1347
807	5642	1340
808	5649	1333
809	5657	1327
810	5664	1320
811	5671	1313
812	5677	1305
813	5684	1298
814	5692	1292
815	5698	1285
816	5705	1278
817	5713	1271
818	5720	1264
819	5727	1257
820	5734	1250
821	5741	1243
822	5748	1236
823	5755	1229
824	5762	1222
825	5769	1215
826	5776	1208
827	5783	1201
828	5789	1194
829	5797	1187
830	5804	1180
831	5810	1173
832	5817	1166
833	5823	1159
834	5831	1152
835	5838	1145
836	5845	1138
837	5852	1131
838	5858	1124
839	5864	1117
840	5872	1110
841	5880	1103
842	5886	1096
843	5893	1089
844	5901	1082
845	5909	1075
846	5916	1068
847	5923	1061
848	5929	1054
849	5937	1047
850	5945	1040
851	5952	1034
852	5960	1027
853	5967	1020
854	5974	1013
855	5980	1006
856	5987	999
857	5994	992
858	6001	985
859	6009	978
860	6017	971
861	6028	965
862	6036	958
863	6044	951
864	6053	944
865	6062	938
866	6069	931
867	6077	924
868	6084	917
869	6091	910
870	6099	903
871	6106	896
872	6113	889
873	6120	882
874	6126	875
875	6134	868
876	6141	861
877	6148	854
878	6155	847
879	6163	840
880	6170	833
881	6177	826
882	6183	819
883	6191	812
884	6197	805
885	6204	798
886	6211	791
887	6218	784
888	6225	777
889	6231	770
890	6238	763
891	6246	756
892	6252	749
893	6259	742
894	6266	735
895	6273	728
896	6280	721
897	6287	714
898	6294	707
899	6301	700
900	6308	693
901	6315	686
902	6323	679
903	6329	672
904	6336	665
905	6343	658
906	6350	651
907	6358	644
908	6368	637
909	6377	630
910	6385	623
911	6393	616
912	6402	610
913	6413	603
914	6422	596
915	6432	589
916	6440	582
917	6447	575
918	6455	568
919	6463	562
920	6472	555
921	6480	548
922	6487	541
923	6496	534
924	6504	527
925	6512	520
926	6520	513
927	6529	506
928	6538	499
929	6547	492
930	6556	485
931	6564	478
932	6573	472
933	6581	465
934	6589	458
935	6599	451
936	6608	444
937	6616	437
938	6627	430
939	6637	423
940	6644	416
941	6654	409
942	6663	402
943	6671	395
944	6679	388
945	6687	381
946	6696	374
947	6704	367
948	6713	360
949	6724	353
950	6733	346
951	6742	339
952	6750	332
953	6758	325
954	6766	318
955	6775	311
956	6783	304
957	6791	297
958	6800	290
959	6809	283
960	6818	276
961	6827	269
962	6837	262
963	6846	255
964	6854	248
965	6862	241
966	6871	234
967	6880	227
968	6889	220
969	6898	213
970	6907	206
971	6916	199
972	6928	192
973	6938	185
974	6946	178
975	6955	171
976	6964	163
977	6973	156
978	6981	149
979	6990	142
980	6999	135
981	7009	128
982	7018	121
983	7027	114
984	7034	107
985	7042	99
986	7050	92
987	7059	85
988	7068	78
989	7076	71
990	7083	64
991	7092	57
992	7100	50
993	7109	42
994	7117	35
995	7124	28
996	7134	21
997	7142	14
998	7150	7
999	7158	0
