iter	RMSE
198	162.2147075
199	162.1935503
200	162.1709199
201	162.0921409
202	162.0737581
203	162.0373757
204	162.0123848
205	161.9668384
206	161.8993812
207	161.8862943
208	161.8653847
209	161.8599507
210	161.8315696
211	161.8175508
212	161.7962984
213	161.7352468
214	161.7035468
215	161.6739162
216	161.6553042
217	161.6248825
218	161.6106097
219	161.5927773
220	161.5773577
221	161.5569589
222	161.5433137
223	161.5165783
224	161.5003568
225	161.4829896
226	161.4354167
227	161.410883
228	161.3940268
229	161.3853647
230	161.354603
231	161.3409471
232	161.3308054
233	161.3156922
234	161.2993683
235	161.2850133
236	161.2675398
237	161.255014
238	161.2274062
239	161.1160304
240	161.089815
241	161.0777283
242	161.0605812
243	161.0302205
244	161.0225629
245	160.9690682
246	160.9393556
247	160.9348157
248	160.8869982
249	160.8716735
250	160.8492562
251	160.8383542
252	160.8195095
253	160.7714163
254	160.7546309
255	160.7411546
256	160.7219318
257	160.6109825
258	160.5881061
259	160.5757282
260	160.5537985
261	160.5282713
262	160.4383393
263	160.3670349
264	160.3531521
265	160.3212052
266	160.3117687
267	160.2989709
268	160.2782338
269	160.2415317
270	160.2270711
271	160.2190333
272	160.2029863
273	160.1866064
274	160.1181953
275	160.1067559
276	160.0277233
277	159.9904453
278	159.9792115
279	159.9700549
280	159.9556275
281	159.9474917
282	159.9304169
283	159.891984
284	159.8776573
285	159.8635024
286	159.8467268
287	159.8309547
288	159.7983219
289	159.7821472
290	159.7694023
291	159.758819
292	159.7469618
293	159.7282774
294	159.7148206
295	159.7043463
296	159.6986056
297	159.6831848
298	159.6756001
299	159.6548622
300	159.6445833
301	159.587286
302	159.5746306
303	159.5331647
304	159.5228207
305	159.5151278
306	159.4984798
307	159.4816575
308	159.4694186
309	159.4652542
310	159.4475977
311	159.4249129
312	159.4092544
313	159.403042
314	159.3915548
315	159.3778996
316	159.339856
317	159.321742
318	159.3112628
319	159.2982391
320	159.2886447
321	159.2615762
322	159.2491976
323	159.2367222
324	159.2226897
325	159.2083023
326	159.196715
327	159.1823007
328	159.165754
329	159.1070271
330	159.0955044
331	159.092471
332	159.0855377
333	159.0778695
334	159.0583112
335	159.0470521
336	159.0381877
337	159.0287346
338	159.0221719
339	158.9839848
340	158.9745787
341	158.9600125
342	158.8916663
343	158.8891264
344	158.8721714
345	158.8653467
346	158.8477249
347	158.843726
348	158.8372698
349	158.8254779
350	158.8129466
351	158.8040328
352	158.7999588
353	158.7864691
354	158.7688903
355	158.7600645
356	158.747086
357	158.7344852
358	158.7161076
359	158.7056032
360	158.6967429
361	158.6837255
362	158.6759884
363	158.664824
364	158.6574792
365	158.6524225
366	158.6448094
367	158.6274254
368	158.6154874
369	158.612159
370	158.5816154
371	158.5680035
372	158.5603086
373	158.543132
374	158.5373629
375	158.5309007
376	158.5225457
377	158.5138457
378	158.511751
379	158.4963306
380	158.4877006
381	158.4765661
382	158.4682206
383	158.4647186
384	158.4433102
385	158.4383474
386	158.43199
387	158.365505
388	158.3432118
389	158.297368
390	158.2895359
391	158.284818
392	158.2694345
393	158.2624207
394	158.2543163
395	158.2423762
396	158.2390928
397	158.1657456
398	158.1553707
399	158.116361
400	158.0622425
401	158.0479847
402	158.0427064
403	158.0285298
404	158.0180981
405	158.0160686
406	158.0079324
407	157.9997305
408	157.9856839
409	157.9566694
410	157.9268702
411	157.9238892
412	157.919412
413	157.9131235
414	157.9032725
415	157.8984758
416	157.8943812
417	157.885609
418	157.829885
419	157.8257869
420	157.8141999
421	157.8095178
422	157.8048612
423	157.8025243
424	157.7970909
425	157.7923671
426	157.7895432
427	157.7854909
428	157.7770908
429	157.7447079
430	157.7406143
431	157.7332271
432	157.7234075
433	157.7064605
434	157.7051775
435	157.6926403
436	157.6919601
437	157.6858638
438	157.6350341
439	157.6280725
440	157.6132191
441	157.6011475
442	157.5472512
443	157.5421539
444	157.5387576
445	157.5282816
446	157.5270423
447	157.4828197
448	157.4812174
449	157.4774061
450	157.4688915
451	157.4186867
452	157.4145794
453	157.410608
454	157.4045641
455	157.4009234
456	157.3690058
457	157.3684248
458	157.3606098
459	157.3531453
460	157.3467332
461	157.3381489
462	157.335898
463	157.3355118
464	157.3317304
465	157.3299324
466	157.3270827
467	157.2818648
468	157.2735556
469	157.2677118
470	157.257405
471	157.2226105
472	157.218995
473	157.2180646
474	157.1918976
475	157.1738763
476	157.1659935
477	157.1511876
478	157.1446974
479	157.1437356
480	157.107019
481	157.0919391
482	157.0902421
483	157.0576071
484	157.0487083
485	157.0393377
486	157.0341067
487	156.9972887
488	156.9929061
489	156.9846155
490	156.9793809
491	156.9742323
492	156.9681866
493	156.9648647
494	156.9620051
495	156.9587714
496	156.956973
497	156.9506477
498	156.9249227
499	156.9090491
500	156.9038214
501	156.8703099
502	156.8670926
503	156.8650361
504	156.8408009
505	156.832191
506	156.8288712
507	156.7985205
508	156.7957215
509	156.7679614
510	156.7605801
511	156.7566393
512	156.7493485
513	156.7464403
514	156.733043
515	156.7244091
516	156.7221906
517	156.7074714
518	156.7059104
519	156.7007552
520	156.6986409
521	156.6958386
522	156.6927037
523	156.6659282
524	156.6516962
525	156.645745
526	156.6301021
527	156.6288004
528	156.6249607
529	156.621103
530	156.6173336
531	156.6126438
532	156.6076352
533	156.5875088
534	156.5789297
535	156.575861
536	156.5637983
537	156.5617264
538	156.5579591
539	156.5514942
540	156.5447296
541	156.5381354
542	156.5065228
543	156.5025596
544	156.4884002
545	156.4819887
546	156.4761687
547	156.4547916
548	156.4527769
549	156.4469108
550	156.4442534
551	156.4385834
552	156.4322404
553	156.429296
554	156.4205162
555	156.4147247
556	156.4110021
557	156.4007174
558	156.377868
559	156.3751969
560	156.3678687
561	156.3652417
562	156.3571894
563	156.3448384
564	156.3403523
565	156.335733
566	156.3287693
567	156.3284821
568	156.3196537
569	156.3179303
570	156.3165513
571	156.3151961
572	156.3094433
573	156.302759
574	156.2975441
575	156.2931038
576	156.2925193
577	156.2911288
578	156.2873809
579	156.2792372
580	156.2738457
581	156.2685159
582	156.2657246
583	156.2501272
584	156.2429898
585	156.2409972
586	156.2371514
587	156.2349704
588	156.2256373
589	156.2202442
590	156.210557
591	156.2084409
592	156.2040511
593	156.2029689
594	156.2008332
595	156.1972174
596	156.1927199
597	156.191679
598	156.1893882
599	156.1880562
600	156.1834753
601	156.1756543
602	156.1706278
603	156.1703251
604	156.1638953
605	156.144006
606	156.1394558
607	156.1336253
608	156.1257483
609	156.1239719
610	156.1187634
611	156.1121669
612	156.1100773
613	156.1064031
614	156.1051872
615	156.1007785
616	156.0963914
617	156.0947959
618	156.072975
619	156.0694877
620	156.0618834
621	156.0571128
622	156.044885
623	156.0431269
624	156.0421199
625	156.0383103
626	156.0343004
627	156.0323563
628	156.0274936
629	156.0102771
630	156.0062341
631	155.9992987
632	155.993398
633	155.9835794
634	155.9773897
635	155.9728549
636	155.9647332
637	155.955016
638	155.9410503
639	155.9328289
640	155.9232822
641	155.9098125
642	155.9080746
643	155.8995151
644	155.8972276
645	155.8952441
646	155.8909296
647	155.8901231
648	155.8847047
649	155.8799808
650	155.8761931
651	155.8740571
652	155.8690077
653	155.8661423
654	155.8615432
655	155.8565305
656	155.8501293
657	155.8458509
658	155.8449439
659	155.8365188
660	155.8343956
661	155.8332997
662	155.8305262
663	155.8288925
664	155.8282456
665	155.809675
666	155.808454
667	155.8004457
668	155.7937376
669	155.7891407
670	155.7821016
671	155.778945
672	155.77449
673	155.768146
674	155.7622023
675	155.7581905
676	155.7545465
677	155.7480529
678	155.7452761
679	155.7346624
680	155.7289943
681	155.7228612
682	155.7190311
683	155.7176226
684	155.7149485
685	155.7126018
686	155.7084964
687	155.6985828
688	155.6838995
689	155.6780775
690	155.6660986
691	155.6568893
692	155.653242
693	155.6500036
694	155.6375664
695	155.6198955
696	155.6152266
697	155.6121945
698	155.6057015
699	155.6050536
700	155.5961167
701	155.5942913
702	155.5900819
703	155.5889312
704	155.5871813
705	155.5861688
706	155.5746466
707	155.573339
708	155.5691678
709	155.5663256
710	155.5641062
711	155.5481246
712	155.542178
713	155.5397888
714	155.5291839
715	155.5274498
716	155.5246567
717	155.5235021
718	155.5178141
719	155.5121219
720	155.4985733
721	155.4971686
722	155.4948038
723	155.4941424
724	155.4916429
725	155.4883906
726	155.4879389
727	155.4783991
728	155.4747217
729	155.4737498
730	155.4690891
731	155.4650246
732	155.4641414
733	155.4606262
734	155.4571013
735	155.4562843
736	155.4495323
737	155.447328
738	155.4447837
739	155.4287767
740	155.4263187
741	155.4132541
742	155.40173
743	155.4009809
744	155.3997554
745	155.3878553
746	155.3770632
747	155.3708557
748	155.3678245
749	155.3566493
750	155.3425869
751	155.3399673
752	155.334083
753	155.3289271
754	155.3212942
755	155.3167401
756	155.313978
757	155.309699
758	155.3072417
759	155.3045325
760	155.3000744
761	155.2983877
762	155.2915773
763	155.287387
764	155.2857505
765	155.2781426
766	155.2747933
767	155.2678304
768	155.2647028
769	155.2548589
770	155.2538346
771	155.2516443
772	155.2476064
773	155.2388952
774	155.2368743
775	155.2310707
776	155.2225923
777	155.2144787
778	155.2122821
779	155.210263
780	155.2069541
781	155.2044451
782	155.2003744
783	155.1974196
784	155.192287
785	155.1877988
786	155.18544
787	155.1824672
788	155.1806967
789	155.1785754
790	155.1719626
791	155.1687614
792	155.1657487
793	155.1638912
794	155.1586557
795	155.1563023
796	155.1543546
797	155.1471078
798	155.1445786
799	155.1432214
800	155.1406296
801	155.1384281
802	155.1370131
803	155.1360934
804	155.1348021
805	155.133297
806	155.1302457
807	155.1247752
808	155.1095406
809	155.1048652
810	155.1027018
811	155.0961331
812	155.0942671
813	155.0905553
814	155.0853509
815	155.0793414
816	155.0769914
817	155.0712442
818	155.0624863
819	155.0602655
820	155.0584322
821	155.0551173
822	155.0514722
823	155.0408267
824	155.0372003
825	155.0350888
826	155.0322128
827	155.0215549
828	155.0177863
829	155.013489
830	155.0038088
831	155.0013126
832	154.998911
833	154.9900842
834	154.9883542
835	154.9837038
836	154.9800513
837	154.9748359
838	154.9663203
839	154.9655822
840	154.958095
841	154.9577521
842	154.9552285
843	154.950809
844	154.9479091
845	154.941839
846	154.9397573
847	154.9348648
848	154.9325964
849	154.9267373
850	154.9202831
851	154.9177958
852	154.9105784
853	154.9100688
854	154.9063463
855	154.9038698
856	154.9011431
857	154.8980215
858	154.8947047
859	154.892148
860	154.8902252
861	154.8856112
862	154.8843672
863	154.8835079
864	154.8786149
865	154.865346
866	154.8636537
867	154.8594273
868	154.8545135
869	154.8491295
870	154.8453262
871	154.8442848
872	154.8426978
873	154.8410945
874	154.8385603
875	154.8349329
876	154.8310385
877	154.8180003
878	154.8133498
879	154.8112901
880	154.8091947
881	154.8078908
882	154.807023
883	154.8051329
884	154.8002997
885	154.7932495
886	154.7891657
887	154.7849257
888	154.7834874
889	154.7803383
890	154.7712028
891	154.7661083
892	154.7622642
893	154.7613472
894	154.7585021
895	154.7550137
896	154.7522866
897	154.7466245
898	154.7446265
899	154.7390954
900	154.7381178
901	154.7369846
902	154.7338263
903	154.7308878
904	154.7283085
905	154.7259293
906	154.7220116
907	154.721317
908	154.7176351
909	154.710097
910	154.706234
911	154.70038
912	154.6963955
913	154.6938699
914	154.6882322
915	154.6817816
916	154.6790629
917	154.6743706
918	154.6724215
919	154.6699376
920	154.6675726
921	154.6612326
922	154.659628
923	154.657781
924	154.6550052
925	154.6539107
926	154.6533882
927	154.6527716
928	154.6450203
929	154.64176
930	154.6388744
931	154.6348445
932	154.6307704
933	154.6276395
934	154.6270134
935	154.6261211
936	154.6240316
937	154.616914
938	154.6130481
939	154.6123677
940	154.6075325
941	154.6028934
942	154.5986877
943	154.5959485
944	154.5938016
945	154.5930158
946	154.5918268
947	154.5856231
948	154.5824102
949	154.5800658
950	154.5758634
951	154.5743764
952	154.5710793
953	154.5690882
954	154.5660387
955	154.5628881
956	154.5604501
957	154.5577155
958	154.5544274
959	154.5538799
960	154.5496175
961	154.5412177
962	154.5330354
963	154.5282431
964	154.5281165
965	154.5265251
966	154.5242661
967	154.5224554
968	154.520417
969	154.5192303
970	154.5120341
971	154.5098058
972	154.5091565
973	154.5065481
974	154.5054886
975	154.4971355
976	154.49502
977	154.494602
978	154.4928994
979	154.4914132
980	154.4897049
981	154.4882101
982	154.4871209
983	154.4824847
984	154.4806306
985	154.4800133
986	154.4695237
987	154.4618968
988	154.4596751
989	154.4561035
990	154.4550643
991	154.4483556
992	154.4415614
993	154.4347635
994	154.4315091
995	154.4264362
996	154.4238
997	154.4227161
998	154.420587
999	154.4185355
